ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.014,0.014,/home/danlessa/.miniconda3/lib/python3.9/site-packages/pandas/core/computation/expressions.py:1(<module>)
1,0.000,0.000,0.011,0.011,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/__init__.py:11(<module>)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/__config__.py:3(<module>)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:53(__init__)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:52(Expression)
2,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:74(get_current_context)
4,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:77(set_new_context)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:69(Context)
2,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:90(func)
54,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:89(ophelper)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:538(FuncNode)
1,0.000,0.000,0.002,0.002,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/expressions.py:11(<module>)
9,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:94(__init__)
9/3,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:127(__hash__)
2,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:139(key)
3,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:142(typecode)
80/40,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:145(postorderWalk)
17,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:151(allOf)
1,0.000,0.000,0.001,0.001,/home/danlessa/.miniconda3/lib/python3.9/multiprocessing/synchronize.py:114(_make_name)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/multiprocessing/synchronize.py:46(SemLock)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/multiprocessing/synchronize.py:123(Semaphore)
